PPP1R12B,axolotl_gene,human_gene,D0,D0.5,D1,D1.5,D2,D3,D4,D5,D7,D9,D10,D12,D14,D16,D18,D20,D22,D24,D26,D28,LFC,ME,LME
10323,axo21480-f_at,PRDX1,16156.61111,17464.38234,17046.31173,17754.40018,17979.55882,17393.86595,17125.7316,17802.238,16390.03142,15487.61098,15938.08858,6472.169295,5900.742798,6375.996226,16148.60587,17785.1559,16943.29681,16508.51809,15987.56939,16230.78323,-1.45315614,15244.58342,13.89600911
11301,axo10437-f_at,RPL12,17216.65201,16872.15929,16646.32397,16700.26066,16331.82055,16549.33929,16893.71503,16477.48001,16767.22128,17007.07009,16205.96152,6577.49969,6311.528158,6372.96636,16410.10671,16875.87867,17100.73839,16630.88129,16787.89821,17013.99129,-1.44774336,15187.47462,13.89059438
11302,axo13207-f_at,RPL13A,17468.14753,16663.84841,16354.5223,16514.0688,16426.17554,16678.92863,16630.18964,16486.89387,16388.70228,16620.39443,16215.37761,6632.371621,6305.320022,6294.539365,16040.50564,16789.283,16841.8033,16813.33153,16855.35041,16938.89331,-1.47255391,15097.93236,13.88206337
13974,axo09062-f_at,UBA52,16750.59823,16889.6405,16826.6458,16918.61676,16799.15446,16902.47626,17135.27827,16462.87862,16350.86115,16790.40024,16036.93702,6744.162299,6465.557509,6430.405094,16143.49131,15996.60355,16063.64866,16626.51288,16253.32201,16777.23094,-1.38123109,15068.22108,13.87922149
9100,axo08292-r_at,NPM1,16439.98087,15925.67609,16104.64233,16042.95188,15694.95204,16170.75031,16069.59557,15990.34006,16120.602,16069.09434,15521.54986,6419.973202,6274.381124,6476.063516,16886.14047,17269.71914,17840.29684,17335.53812,17994.85679,17764.27266,-1.38966355,15020.56886,13.87465183
11328,axo10742-r_at,RPL31,16706.54747,16070.10795,15955.06649,16047.9011,16153.89,16156.47672,16248.94015,15914.74036,16022.17072,16215.1753,15661.32875,6443.04694,6078.722102,6113.967381,15645.59603,15681.38103,16042.86292,15615.19538,15806.6936,16267.81648,-1.45857365,14542.38134,13.82797591
11382,axo20469-f_at,RPS29,17784.934,14477.81233,18839.04223,15655.6523,16331.58282,15410.87332,15504.38843,16937.75446,15390.50553,17135.08823,14933.2235,5591.675677,5751.312644,5101.704527,13346.483,16779.14985,15546.27154,15083.77589,13821.37953,14973.41837,-1.80160437,14219.80141,13.7956137
11814,axo08754-f_at,SET,13683.44619,14182.66473,14004.78291,14119.555,14652.53842,15087.36247,15129.20962,15008.98712,15293.23506,15131.54835,14661.94624,6161.353263,6218.826403,6473.392878,16964.87289,16871.2588,17398.97866,17360.87449,17767.97934,17359.9359,-1.15111246,14176.63744,13.79122776
11307,axo10506-f_at,RPL18A,15661.17678,15740.98281,15539.86123,15470.31551,15482.7809,15592.60118,15875.92465,15436.46727,15329.78667,15278.87818,14814.61999,6122.976539,5857.829675,5980.658891,14916.7229,15708.63279,15637.83315,15864.94611,15924.28526,16264.14092,-1.41875447,14125.07107,13.78597051
7032,axo06033-f_at,KRT5,18772.00332,20639.92346,20348.54473,19890.54244,20277.65216,19965.57498,19507.61791,18515.25758,17267.00206,16660.10647,16198.81884,6836.272453,6114.213353,5921.238297,12975.35149,12191.98996,9039.254012,7078.755351,7573.954295,5052.280417,-1.893576,14041.31768,13.77739071
